label,line,construct,treatment,id,ari_freq
-2.099999905,#8-7_1uM_TA,#8-7,1uM_TA,2,1.982260449
-1.819999933,#8-7_1uM_TA,#8-7,1uM_TA,2,2.398871119
-1.539999962,#8-7_1uM_TA,#8-7,1uM_TA,2,2.338395377
-1.25999999,#8-7_1uM_TA,#8-7,1uM_TA,2,2.81548179
-0.980000019,#8-7_1uM_TA,#8-7,1uM_TA,2,3.890606101
-0.699999988,#8-7_1uM_TA,#8-7,1uM_TA,2,4.636473592
-0.420000017,#8-7_1uM_TA,#8-7,1uM_TA,2,5.691439323
-0.140000001,#8-7_1uM_TA,#8-7,1uM_TA,2,6.659051203
0.140000001,#8-7_1uM_TA,#8-7,1uM_TA,2,6.746405053
0.420000017,#8-7_1uM_TA,#8-7,1uM_TA,2,6.417148233
0.699999988,#8-7_1uM_TA,#8-7,1uM_TA,2,5.577207365
0.980000019,#8-7_1uM_TA,#8-7,1uM_TA,2,4.481924473
1.25999999,#8-7_1uM_TA,#8-7,1uM_TA,2,3.447117323
1.539999962,#8-7_1uM_TA,#8-7,1uM_TA,2,2.613895982
1.819999933,#8-7_1uM_TA,#8-7,1uM_TA,2,2.291358688
2.099999905,#8-7_1uM_TA,#8-7,1uM_TA,2,1.572369305
2.380000114,#8-7_1uM_TA,#8-7,1uM_TA,2,1.310307754
2.659999847,#8-7_1uM_TA,#8-7,1uM_TA,2,1.222953904
2.940000057,#8-7_1uM_TA,#8-7,1uM_TA,2,0.987770461
3.21999979,#8-7_1uM_TA,#8-7,1uM_TA,2,0.705550329
3.5,#8-7_1uM_TA,#8-7,1uM_TA,2,0.564440263
3.78000021,#8-7_1uM_TA,#8-7,1uM_TA,2,0.63835506
4.059999943,#8-7_1uM_TA,#8-7,1uM_TA,2,0.436769251
4.340000153,#8-7_1uM_TA,#8-7,1uM_TA,2,0.349415401
4.619999886,#8-7_1uM_TA,#8-7,1uM_TA,2,0.416610671
4.900000095,#8-7_1uM_TA,#8-7,1uM_TA,2,0.322537293
5.180000305,#8-7_1uM_TA,#8-7,1uM_TA,2,0.309098239
5.460000038,#8-7_1uM_TA,#8-7,1uM_TA,2,0.309098239
5.739999771,#8-7_1uM_TA,#8-7,1uM_TA,2,0.309098239
6.019999981,#8-7_1uM_TA,#8-7,1uM_TA,2,0.24190297
6.300000191,#8-7_1uM_TA,#8-7,1uM_TA,2,0.194866281
6.579999924,#8-7_1uM_TA,#8-7,1uM_TA,2,0.201585808
6.859999657,#8-7_1uM_TA,#8-7,1uM_TA,2,0.174707701
7.140000343,#8-7_1uM_TA,#8-7,1uM_TA,2,0.181427228
7.420000076,#8-7_1uM_TA,#8-7,1uM_TA,2,0.201585808
7.699999809,#8-7_1uM_TA,#8-7,1uM_TA,2,0.141110066
7.980000019,#8-7_1uM_TA,#8-7,1uM_TA,2,0.174707701
8.260000229,#8-7_1uM_TA,#8-7,1uM_TA,2,0.114231958
