label,line,construct,treatment,id,ari_freq
-5.460000038,#8-7_1uM_DSP,#8-7,1uM_DSP,2,1.306347746
-5.180000305,#8-7_1uM_DSP,#8-7,1uM_DSP,2,1.490340386
-4.900000095,#8-7_1uM_DSP,#8-7,1uM_DSP,2,1.502606562
-4.619999886,#8-7_1uM_DSP,#8-7,1uM_DSP,2,1.625268323
-4.340000153,#8-7_1uM_DSP,#8-7,1uM_DSP,2,1.563937443
-4.059999943,#8-7_1uM_DSP,#8-7,1uM_DSP,2,1.968721251
-3.78000021,#8-7_1uM_DSP,#8-7,1uM_DSP,2,1.852192579
-3.5,#8-7_1uM_DSP,#8-7,1uM_DSP,2,2.054584483
-3.21999979,#8-7_1uM_DSP,#8-7,1uM_DSP,2,2.115915363
-2.940000057,#8-7_1uM_DSP,#8-7,1uM_DSP,2,2.545231524
-2.659999847,#8-7_1uM_DSP,#8-7,1uM_DSP,2,2.968414597
-2.380000114,#8-7_1uM_DSP,#8-7,1uM_DSP,2,3.624655014
-2.099999905,#8-7_1uM_DSP,#8-7,1uM_DSP,2,4.544618215
-1.819999933,#8-7_1uM_DSP,#8-7,1uM_DSP,2,5.574977001
-1.539999962,#8-7_1uM_DSP,#8-7,1uM_DSP,2,6.022692426
-1.25999999,#8-7_1uM_DSP,#8-7,1uM_DSP,2,6.120821834
-0.980000019,#8-7_1uM_DSP,#8-7,1uM_DSP,2,6.372278442
-0.699999988,#8-7_1uM_DSP,#8-7,1uM_DSP,2,5.758969641
-0.420000017,#8-7_1uM_DSP,#8-7,1uM_DSP,2,5.078196872
-0.140000001,#8-7_1uM_DSP,#8-7,1uM_DSP,2,4.133701319
0.140000001,#8-7_1uM_DSP,#8-7,1uM_DSP,2,3.520392518
0.420000017,#8-7_1uM_DSP,#8-7,1uM_DSP,2,3.011346213
0.699999988,#8-7_1uM_DSP,#8-7,1uM_DSP,2,2.379638148
0.980000019,#8-7_1uM_DSP,#8-7,1uM_DSP,2,2.146580803
1.25999999,#8-7_1uM_DSP,#8-7,1uM_DSP,2,1.723397731
1.539999962,#8-7_1uM_DSP,#8-7,1uM_DSP,2,1.349279362
1.819999933,#8-7_1uM_DSP,#8-7,1uM_DSP,2,1.116222018
2.099999905,#8-7_1uM_DSP,#8-7,1uM_DSP,2,1.091689666
2.380000114,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.791168353
2.659999847,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.594909537
2.940000057,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.490647041
3.21999979,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.521312481
3.5,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.429316161
3.78000021,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.312787489
4.059999943,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.312787489
4.340000153,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.27598896
4.619999886,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.24532352
4.900000095,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.269855872
5.180000305,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.202391904
5.460000038,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.202391904
5.739999771,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.190125728
6.019999981,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.134927936
6.300000191,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.134927936
6.579999924,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.104262496
6.859999657,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.110395584
7.140000343,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.110395584
7.420000076,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.110395584
7.699999809,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.104262496
7.980000019,#8-7_1uM_DSP,#8-7,1uM_DSP,2,0.079730144
